일자,매수매도,가격
202009011050,0,0
202009011055,0,0
202009011100,0,0
202009011105,0,0
202009011110,0,0
202009011115,0,0
202009011120,0,0
202009011125,0,0
202009011130,0,0
202009011135,0,0
202009011140,1,43050
202009011145,0,0
202009011150,0,0
202009011155,0,0
202009011200,0,0
202009011205,0,0
202009011210,0,0
202009011215,0,0
202009011220,0,0
202009011225,0,0
202009011230,0,0
202009011235,0,0
202009011240,0,0
202009011245,0,0
202009011250,0,0
202009011255,0,0
202009011300,0,0
202009011305,0,0
202009011310,0,0
202009011315,2,43050
202009011320,0,0
202009011325,0,0
202009011330,0,0
202009011335,0,0
202009011340,0,0
202009011345,0,0
202009011350,0,0
202009011355,0,0
202009011400,0,0
202009011405,0,0
202009011410,0,0
202009011415,0,0
202009011420,0,0
202009011425,0,0
202009011430,0,0
202009011435,0,0
202009011440,0,0
202009011445,0,0
202009011450,0,0
202009011455,0,0
